length	diameter
53.69	25.72
52.06	25.73
52.46	25.74
53.29	25.76
46.8	25.78
54.15	25.84
59.18	25.92
48.91	25.97
56.78	26.01
44.29	26.03
51.96	26.05
47.8	26.1
53.32	26.11
52.48	26.18
48.61	26.19
61.86	26.44
53.3	26.48
51.61	26.53
52.01	26.59
45.46	26.64
58.39	26.7
52.01	26.72
50.09	26.79
52.93	27.09
52.37	27.42
52.14	28.77
47.37	29.03
34.39	7.599
36.17	9.562
34.05	9.763
50.33	10.06
31.22	10.21
64.77	10.45
50.61	10.78
35.63	11.06
44.35	12.08
70.15	12.18
41.87	12.35
37.66	12.51
51.53	12.65
48.2	12.77
42.42	13.32
50.15	13.48
47.9	13.82
57.35	13.91
45.23	14.32
52.73	14.45
48.59	14.53
44.24	14.59
54.17	14.77
53.84	14.79
55.38	14.87
59.46	14.94
50.95	15.13
62.85	15.78
61.97	15.83
52.46	15.99
51.13	16.14
52.85	16.18
56.63	16.28
58.52	16.33
51.32	16.71
62.58	16.74
61.06	16.77
54.3	16.78
49.41	16.79
60.21	16.79
52.67	16.95
69.63	17.15
46.18	17.17
59.93	17.27
54.78	17.29
48.86	17.34
64.76	17.35
52.95	17.36
52.02	17.47
60.63	17.48
58.27	17.63
59.31	17.78
54.88	18.04
61.79	18.06
59.75	18.07
52.33	18.08
59.73	18.1
51.76	18.12
57.78	18.14
57.2	18.16
58.96	18.22
42.33	18.28
63.7	18.31
59.5	18.38
58.71	18.38
55.18	18.39
59.13	18.4
46.4	18.54
59.15	18.6
63.53	18.62
64.46	18.63
59.44	18.65
62.34	18.69
57.95	18.72
48.78	18.85
64.28	18.87
65.2	18.9
59.06	19.05
63.07	19.05
64.61	19.19
70.3	19.23
54.18	19.26
68.22	19.31
64.53	19.31
56.96	19.35
59.54	19.36
62.95	19.4
49.36	19.4
59.51	19.46
51.14	19.47
43.78	19.47
54.48	19.49
66.26	19.54
67.63	19.59
51.8	19.75
55.76	19.75
63.01	19.77
57.62	19.78
49.14	19.81
52.44	19.81
60.21	19.81
65.04	19.83
59.2	19.9
65.01	19.9
56.54	19.93
64.52	19.93
63.65	19.94
65.55	19.97
64.43	19.97
59.2	20
57.83	20.01
59.36	20.03
61.56	20.04
61.22	20.07
65.17	20.08
58.32	20.1
53.03	20.13
55.02	20.13
62.42	20.13
60.17	20.18
65.18	20.22
58.51	20.26
61.14	20.26
55.56	20.27
53.67	20.31
69.23	20.32
58.01	20.32
57.06	20.33
72.49	20.35
72.97	20.43
70.07	20.53
58.53	20.54
56.22	20.54
63.09	20.58
48.99	20.6
61.72	20.61
59.36	20.61
55.38	20.61
66.39	20.62
64.9	20.69
52.33	20.71
67.63	20.71
62.92	20.74
64.2	20.74
60.71	20.76
60.07	20.84
62.64	20.89
60.33	20.9
69.75	20.94
57.54	20.96
62.34	21.02
59.69	21.02
61.58	21.02
61.13	21.02
60.81	21.03
50.57	21.03
66.55	21.04
63.3	21.04
64.84	21.05
57.77	21.07
58.48	21.15
64.48	21.18
58.2	21.2
65.8	21.2
53.82	21.22
55.5	21.23
49.88	21.24
61.11	21.26
54.3	21.26
69.52	21.31
55.36	21.31
54.76	21.31
71.68	21.31
56.28	21.34
69.3	21.38
59.72	21.38
52.28	21.38
53.73	21.39
64.22	21.43
58.53	21.43
54.25	21.46
62.32	21.49
54.58	21.52
59.53	21.52
56.28	21.52
56.54	21.52
49.24	21.53
63.72	21.54
64.58	21.55
67.93	21.57
58.76	21.57
53.09	21.57
64.07	21.57
62.92	21.6
66.34	21.61
61.84	21.63
44.12	21.69
66.78	21.69
62.09	21.69
63.49	21.71
51.74	21.73
61.06	21.84
58.16	21.84
57.55	21.84
63.25	21.88
55.21	21.94
58.09	21.94
54.53	21.95
61.44	22.01
59.43	22.03
67.06	22.07
60.16	22.07
59.74	22.16
65.92	22.16
54.29	22.17
58.56	22.21
62.07	22.23
62.78	22.23
51.93	22.27
59.99	22.3
62.03	22.31
58.32	22.32
52.82	22.35
57.64	22.41
56.86	22.44
57.77	22.49
58.82	22.52
53.87	22.52
55.59	22.63
57.96	22.66
59.2	22.7
54.92	22.7
63.8	22.75
58.73	22.79
58.58	22.79
61.16	22.84
64.93	22.87
59.83	22.88
54.7	22.92
57.09	22.95
63.22	22.96
55.59	22.97
64.13	23
50.09	23
53.47	23.04
61.56	23.07
49.53	23.07
59.56	23.11
57.58	23.19
59.29	23.27
59.35	23.27
66.81	23.29
63.61	23.29
